txid,timestamp,my_address,other_address,direction,amount_sat,fee_sat,internal,datetime,signed_amount
c3ecdbc82b4482eb915a55ce7a9ad4728f3413712131b16189b8d77b9e634501,1560711244,1KCA9uHbxgazEAwZij9WU6tzPphVsPQoF1,3N1kFAWSeWwgJGXpQc832yqqWamwkUHhG1,IN,5309000,0,False,2019-06-16 18:54:04+00:00,5309000
f281000df957e6624b200718c9b7c285efc5e264485e9c064121c40eb7accf0e,1583059866,1ETjoycrF3FxjxbnVBfKYQVXs7Estnw8qp,3A4uZo6odxVX2VHVJ88TiSjftk4xtEpgbf,IN,10541172,0,False,2020-03-01 10:51:06+00:00,10541172
14f41290cd7cb178a09fff3fd9ed71ca5af64bc0c7683118fde353854fe10e75,1596831232,1LbkBWrnkUiNic49NhrPqi68mD78VspAei,3LzNJ5gzFYiK9AmtdoYgswTBCahUVLzk2t,IN,7857455,0,False,2020-08-07 20:13:52+00:00,7857455
9b9f86503b6a06466f09431d6fe2416aab6a3d61517b7d0a79f98f0c2c2d789b,1611970583,1CXrREtFy9z6LppYBjwUamfHwYBdwnxD26,bc1qh6na7upyapysll60hsd7jmsy2lewdt6ycwmfwd,OUT,5377500,44829,True,2021-01-30 01:36:23+00:00,-5422329
9b9f86503b6a06466f09431d6fe2416aab6a3d61517b7d0a79f98f0c2c2d789b,1611970583,1CXrREtFy9z6LppYBjwUamfHwYBdwnxD26,37qDxY6D4dPjkeW9EfERPjxYTrCAvvRwtb,OUT,1000000,44829,False,2021-01-30 01:36:23+00:00,-1000000
9b9f86503b6a06466f09431d6fe2416aab6a3d61517b7d0a79f98f0c2c2d789b,1611970583,1N3KGpqTC1r1PDRe1sxQZofLrnzBMz3RCB,37qDxY6D4dPjkeW9EfERPjxYTrCAvvRwtb,OUT,1000000,44829,False,2021-01-30 01:36:23+00:00,0
9b9f86503b6a06466f09431d6fe2416aab6a3d61517b7d0a79f98f0c2c2d789b,1611970583,1N3KGpqTC1r1PDRe1sxQZofLrnzBMz3RCB,bc1qh6na7upyapysll60hsd7jmsy2lewdt6ycwmfwd,OUT,5377500,44829,True,2021-01-30 01:36:23+00:00,0
9b9f86503b6a06466f09431d6fe2416aab6a3d61517b7d0a79f98f0c2c2d789b,1611970583,1N3KGpqTC1r1PDRe1sxQZofLrnzBMz3RCB,1p14aUUk5uVcdP5CAs5NsPCJyodmoqc8N,OUT,9000000,44829,False,2021-01-30 01:36:23+00:00,-9000000
9b9f86503b6a06466f09431d6fe2416aab6a3d61517b7d0a79f98f0c2c2d789b,1611970583,bc1qh6na7upyapysll60hsd7jmsy2lewdt6ycwmfwd,1CXrREtFy9z6LppYBjwUamfHwYBdwnxD26,IN,5377500,0,True,2021-01-30 01:36:23+00:00,5377500
9b9f86503b6a06466f09431d6fe2416aab6a3d61517b7d0a79f98f0c2c2d789b,1611970583,1CXrREtFy9z6LppYBjwUamfHwYBdwnxD26,1p14aUUk5uVcdP5CAs5NsPCJyodmoqc8N,OUT,9000000,44829,False,2021-01-30 01:36:23+00:00,0
209a8794c1f115a70343623f7e152050fcfb3e38ba23b469f228c66a10045c47,1611998378,bc1qh6na7upyapysll60hsd7jmsy2lewdt6ycwmfwd,1bhsBpxqxXrbuXyXmeg34sUw9YywFeVJb,IN,22118700,0,True,2021-01-30 09:19:38+00:00,22118700
83c51aed9c4550486952a2974d9df5eae31998138dd95430a4f517b874e5c556,1611998378,bc1qh6na7upyapysll60hsd7jmsy2lewdt6ycwmfwd,bc1qsh4pf07z8vwlkv2mvfdur7epc39kygcyp6df5x,OUT,22087009,31691,True,2021-01-30 09:19:38+00:00,-22118700
83c51aed9c4550486952a2974d9df5eae31998138dd95430a4f517b874e5c556,1611998378,bc1qsh4pf07z8vwlkv2mvfdur7epc39kygcyp6df5x,bc1qh6na7upyapysll60hsd7jmsy2lewdt6ycwmfwd,IN,22087009,0,True,2021-01-30 09:19:38+00:00,22087009
209a8794c1f115a70343623f7e152050fcfb3e38ba23b469f228c66a10045c47,1611998378,1bhsBpxqxXrbuXyXmeg34sUw9YywFeVJb,37qDxY6D4dPjkeW9EfERPjxYTrCAvvRwtb,OUT,2000000,1209,False,2021-01-30 09:19:38+00:00,-2001209
209a8794c1f115a70343623f7e152050fcfb3e38ba23b469f228c66a10045c47,1611998378,1bhsBpxqxXrbuXyXmeg34sUw9YywFeVJb,1p14aUUk5uVcdP5CAs5NsPCJyodmoqc8N,OUT,10000000,1209,False,2021-01-30 09:19:38+00:00,-10000000
209a8794c1f115a70343623f7e152050fcfb3e38ba23b469f228c66a10045c47,1611998378,1ETjoycrF3FxjxbnVBfKYQVXs7Estnw8qp,37qDxY6D4dPjkeW9EfERPjxYTrCAvvRwtb,OUT,2000000,1209,False,2021-01-30 09:19:38+00:00,0
209a8794c1f115a70343623f7e152050fcfb3e38ba23b469f228c66a10045c47,1611998378,1bhsBpxqxXrbuXyXmeg34sUw9YywFeVJb,bc1qh6na7upyapysll60hsd7jmsy2lewdt6ycwmfwd,OUT,22118700,1209,True,2021-01-30 09:19:38+00:00,-22118700
209a8794c1f115a70343623f7e152050fcfb3e38ba23b469f228c66a10045c47,1611998378,158kxRdraE4yqBPVt5A6Ybw8xNxypWphbd,37qDxY6D4dPjkeW9EfERPjxYTrCAvvRwtb,OUT,2000000,1209,False,2021-01-30 09:19:38+00:00,0
209a8794c1f115a70343623f7e152050fcfb3e38ba23b469f228c66a10045c47,1611998378,158kxRdraE4yqBPVt5A6Ybw8xNxypWphbd,1p14aUUk5uVcdP5CAs5NsPCJyodmoqc8N,OUT,10000000,1209,False,2021-01-30 09:19:38+00:00,0
209a8794c1f115a70343623f7e152050fcfb3e38ba23b469f228c66a10045c47,1611998378,158kxRdraE4yqBPVt5A6Ybw8xNxypWphbd,bc1qh6na7upyapysll60hsd7jmsy2lewdt6ycwmfwd,OUT,22118700,1209,True,2021-01-30 09:19:38+00:00,0
209a8794c1f115a70343623f7e152050fcfb3e38ba23b469f228c66a10045c47,1611998378,1ETjoycrF3FxjxbnVBfKYQVXs7Estnw8qp,1p14aUUk5uVcdP5CAs5NsPCJyodmoqc8N,OUT,10000000,1209,False,2021-01-30 09:19:38+00:00,0
209a8794c1f115a70343623f7e152050fcfb3e38ba23b469f228c66a10045c47,1611998378,1ETjoycrF3FxjxbnVBfKYQVXs7Estnw8qp,bc1qh6na7upyapysll60hsd7jmsy2lewdt6ycwmfwd,OUT,22118700,1209,True,2021-01-30 09:19:38+00:00,0
738fce4b75fd9fa6212a47dce4aa7229e2bc5a62ce09f6206cac1b51d9d1e453,1612256670,bc1q34qxyy0m9s0n6kpsteujeen5qskjs8kexxqh87,bc1qxkfe3z2pnew5uq0rfw7g705al3v068u79ez6sv,IN,11294200,0,True,2021-02-02 09:04:30+00:00,11294200
738fce4b75fd9fa6212a47dce4aa7229e2bc5a62ce09f6206cac1b51d9d1e453,1612256670,bc1qxkfe3z2pnew5uq0rfw7g705al3v068u79ez6sv,322MwtvpAGmJzdH58dsfFkkbcggWm3Tizd,OUT,1000000,12025,False,2021-02-02 09:04:30+00:00,-1012025
738fce4b75fd9fa6212a47dce4aa7229e2bc5a62ce09f6206cac1b51d9d1e453,1612256670,bc1qxkfe3z2pnew5uq0rfw7g705al3v068u79ez6sv,1p14aUUk5uVcdP5CAs5NsPCJyodmoqc8N,OUT,10000000,12025,False,2021-02-02 09:04:30+00:00,-10000000
738fce4b75fd9fa6212a47dce4aa7229e2bc5a62ce09f6206cac1b51d9d1e453,1612256670,bc1qxkfe3z2pnew5uq0rfw7g705al3v068u79ez6sv,bc1q34qxyy0m9s0n6kpsteujeen5qskjs8kexxqh87,OUT,11294200,12025,True,2021-02-02 09:04:30+00:00,-11294200
ed728cac9e65199711480ec3b09db540ef63720aebd3b0d80f767118800d6f22,1612430978,16yAQbC12MspFHN8kqvQrMBi3wPoqSAh56,1p14aUUk5uVcdP5CAs5NsPCJyodmoqc8N,OUT,24649696,37086,False,2021-02-04 09:29:38+00:00,-24686782
ed728cac9e65199711480ec3b09db540ef63720aebd3b0d80f767118800d6f22,1612430978,12U6mtUKsBdqx9PxLBrNS4ajgsJJFcEMr4,1p14aUUk5uVcdP5CAs5NsPCJyodmoqc8N,OUT,24649696,37086,False,2021-02-04 09:29:38+00:00,0
ed728cac9e65199711480ec3b09db540ef63720aebd3b0d80f767118800d6f22,1612430978,1HUzgTzyZSgbvspHP1xx58hCrj6KPXNwtj,1p14aUUk5uVcdP5CAs5NsPCJyodmoqc8N,OUT,24649696,37086,False,2021-02-04 09:29:38+00:00,0
ed728cac9e65199711480ec3b09db540ef63720aebd3b0d80f767118800d6f22,1612430978,1LbkBWrnkUiNic49NhrPqi68mD78VspAei,1p14aUUk5uVcdP5CAs5NsPCJyodmoqc8N,OUT,24649696,37086,False,2021-02-04 09:29:38+00:00,0
ed728cac9e65199711480ec3b09db540ef63720aebd3b0d80f767118800d6f22,1612430978,1KCA9uHbxgazEAwZij9WU6tzPphVsPQoF1,1p14aUUk5uVcdP5CAs5NsPCJyodmoqc8N,OUT,24649696,37086,False,2021-02-04 09:29:38+00:00,0
ed728cac9e65199711480ec3b09db540ef63720aebd3b0d80f767118800d6f22,1612430978,1EaRTktYtBy4MCUHZf5Mazjj7VPPaEuKBk,1p14aUUk5uVcdP5CAs5NsPCJyodmoqc8N,OUT,24649696,37086,False,2021-02-04 09:29:38+00:00,0
